new serial,Old Serial,Deployment Stage,LATEST serial,NEW Serial,OLD Serial,Title,Note,,Key,Item Type,Publication Year,Author,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
1,1,Novel Index Design (Research Prototype),1,1,13,Learned Indexes with Distribution Smoothing via Virtual Points,,,RG24YGHP,journalArticle,2025,"Amarasinghe, K; Choudhury, F; Qi, J; arXiv, J Bailey - arXiv preprint; 2024, undefined",arxiv.org,,,,https://arxiv.org/abs/2408.06134,"Recent research on learned indexes has created a new perspective for indexes as models that map keys to their respective storage locations. These learned indexes are created to approximate the cumulative distribution function of the key set, where using only a single model may have limited accuracy. To overcome this limitation , a typical method is to use multiple models, arranged in a hierarchical manner, where the query performance depends on two aspects: (i) traversal time to find the correct model and (ii) search time to find the key in the selected model. Such a method may cause some key space regions that are difficult to model to be placed at deeper levels in the hierarchy. To address this issue, we propose an alternative method that modifies the key space as opposed to any structural or model modifications. This is achieved through making the key set more learnable (i.e., smoothing the distribution) by inserting virtual points. Furthermore, we develop an algorithm named CSV to integrate our virtual point insertion method into existing learned indexes, reducing both their traversal and search time. We implement CSV on state-of-the-art learned indexes and evaluate them on real-world datasets. Extensive experimental results show significant query performance improvement for the keys in deeper levels of the index structures at a low storage cost. CCS Concepts • Information systems → Data access methods.",2025,2025-12-21 21:43:52,2025-12-21 21:43:52,,,,,1,,,,,,,,,,,,,,,,,,,,,Distribution smoothing; Index optimisation; Learned indexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Novel Index Design (Research Prototype),2,2,33,Kanva: A Lock-free Learned Search Data Structure,,,23WR79HZ,journalArticle,2024,"Bhardwaj, Gaurav; Chatterjee, Bapi; Sharma, Abhinav; Peri, Sathya; Nayak, Siddharth",dl.acm.org,,9798400708428,10.1145/3673038.3673082,https://dl.acm.org/doi/abs/10.1145/3673038.3673082,"Lock-free concurrent data structures offer throughput with scalability and guarantees for the completion of operations on multicore computers. Recently, queries using machine learning models trained to predict the data distribution have gained remarkable attention. Yet, to our knowledge, no existing lock-free data structure employs them. This paper introduces a lock-free search structure that supports concurrent updates, membership, and range queries accelerated by a shallow hierarchy of lightweight machine learning models. The proposed approach significantly outperforms the current state-of-the-art lock-free data structures in many workload and data distribution settings. Ours is the first provably linearizable learned lock-free concurrent range search index.",2024-08,2025-12-21 21:43:53,2025-12-21 21:43:53,,252-261,,,,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery,,,,concurrent data structures; learned index; lock-free; non-blocking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,71,Novel Index Design (Research Prototype),71,71,457,TONE: cutting tail-latency in learned indexes,,,N2RHMAP7,journalArticle,2022,"Zhang, Yong; Xiong, Xinran; Balmau, Oana",dl.acm.org,,9781450392099,10.1145/3503646.3524295,https://dl.acm.org/doi/abs/10.1145/3503646.3524295,"Low memory footprint and tail latency are important in indexing for data management systems. Learned indexes have been gaining popularity in recent years due to their low memory overhead, and adaptability to fluctuations in workloads. However, state-of-The-Art learned indexes are optimized for read-heavy workloads where the key access distribution is relatively stable, and thus exhibit high tail latency for insertions. Our main observation is that high insertion tail latency stems from structural modification operations in the index, such as node expansions and splits. Based on this insight, we propose a new tail-latency optimized learned index we call TONE. TONE has a novel node layout for leaves and adaptable policies for triggering structural modification operations. Moreover, TONE provides a shard-based mechanism to boost parallelism, while minimizing contention. We evaluate the insertion tail-latency and overall throughput of TONE and provide a comprehensive comparison to state-of-The-Art indexes such as skiplists (used in RocksDB) and existing learned indexes. We show that TONE reduces the 99p write tail-latency up to one order of magnitude and has a low memory use.",2022-04,2025-12-21 21:44:04,2025-12-21 21:44:04,,16-23,,,,,,,,,,,,,,,,,,,,"Publisher: Association for Computing Machinery, Inc",,,,learned index; indexing; tail latency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,System Integration,4,4,46,Limousine: Blending learned and classical indexes to self-design larger-than-memory cloud storage engines,,,H4ZVES9B,journalArticle,2024,"Chatterjee, S; Pekala, MF; …, L Kruglyak - Proceedings of the ACM; 2024, undefined",dl.acm.org,,,10.1145/3639302,https://dl.acm.org/doi/abs/10.1145/3639302?casa_token=otJeSeEzUAwAAAAA:gbI_m8JAKNvcz3c6hNC9SlElpGhCoj0ecJSmOL7t25Ch9yXdqLyvQs2yNbZwGHxNw3wjX5QRjtjkrz4,"We present Limousine, a self-designing key-value storage engine, that can automatically morph to the near-optimal storage engine architecture shape given a workload, a cloud budget, and target performance. At its core, Limousine identifies the fundamental design principles of storage engines as combinations of learned and classical data structures that collaborate through algorithms for data storage and access. By unifying these principles over diverse hardware and three major cloud providers (AWS, GCP, and Azure), Limousine creates a massive design space of quindecillion (1048) storage engine designs the vast majority of which do not exist in literature or industry. Limousine contains a distribution-aware IO model to accurately evaluate any candidate design. Using these models, Limousine searches within the exhaustive design space to construct a navigable continuum of designs connected along a Pareto frontier of cloud cost and performance. If storage engines contain learned components, Limousine also introduces efficient lazy write algorithms to optimize the holistic read-write performance. Once the near-optimal design is decided for the given context, Limousine automatically materializes the corresponding design in Rust code. Using the YCSB benchmark, we demonstrate that storage engines automatically designed and generated by Limousine scale better by up to 3 orders of magnitude when compared with state-of-the-art industry-leading engines such as RocksDB, WiredTiger, FASTER, and Cosine, over diverse workloads, data sets, and cloud budgets.",2024-03,2025-12-21 21:43:53,2025-12-21 21:43:53,,1-28,,1,2,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery (ACM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Novel Index Design (Research Prototype),80,80,400,Updatable learned index with precise positions,Foundational paper,,MZ93HS56,journalArticle,,"Wu, J; Zhang, Y; Chen, S; Wang, J; …, Y Chen - arXiv preprint arXiv; 2021, undefined",arxiv.org,,,,https://arxiv.org/abs/2104.05520,"Recent work on learned index opens a new research direction for index structures. By exploiting the data distribution , a read-only learned index can achieve much better time and space performance than B+-Trees. A number of recent studies propose enhanced learned index structures that provide various levels of support for insertions and deletions. Among them, ALEX, an updatable adaptive learned index, provides the most comprehensive support, allowing on-the-fly insertions and dynamically adjusting the index structure similar to the B+-Tree. In this paper, we study learned index from a new perspective, trying to understand how ALEX performs on Non-Volatile Main Memory (NVM). We analyze the insertion behaviors of ALEX and experimentally evaluate its performance on a real machine equipped with Intel Optane DC Persistent Memory. We find that learning data distributions in learned index makes it feasible to create very large leaf nodes, and reduce the tree height drastically for better search performance. However, this design choice causes a large number of NVM writes for insertion operations, even for the well optimized ALEX design.",,2025-12-21 21:44:02,2025-12-21 21:44:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,System Integration,79,79,581,HL-LSM: A LSM-Tree Combined with Read Hotness and Learned Index,,,3JI3VK6H,conferencePaper,2024,H. Tan; H. Li; X. Wang; W. Huang; R. Huang; S. Deng; J. Wu,2024 IEEE International Conference on Big Data (BigData),2573-2978,,10.1109/BigData62323.2024.10825283,,"Log-Structured Merge Tree (LSM-Tree) is widely employed in key-value (kv) store owing to its exceptional performance in write-intensive workloads. LSMTree appends kv pairs to memory initially, and only when the memory capacity reaches a threshold does it flush the data to disk. However, in comparison to write, read operations often entail more disk access, resulting in relatively a slower response speed. Although LSM-Tree utilizes an index structure to expedite read operations, its performance enhancement remains limited. In addition, LSM-Tree fails to consider the read hotness of each sorted string table (SSTable) during compaction, leading to significant fluctuations in performance. This paper introduces HL-LSM, a novel LSM-Tree. HL-LSM utilizes learned index to replace original index to save system overhead and improve read performance. Moreover, a lightweight read hotness statistics is devised to optimize the compaction and assess the feasibility of each SSTable in constructing a learned index. In order to evaluate the performance of HL-LSM, we constructed a system prototype, HLDB, based on WiscKey. Experiment demonstrates that in read-intensive scenarios, HLDB is able to reduce the overall system latency by nearly 10% compared to WiscKey. Furthermore, it was observed that the optimization effect of HL-LSM improves as the variance of hotness value distribution increases.",2024-12-15,2025-12-21 19:21:46,2025-12-21 19:21:46,,3992-3999,,,,,,,,,,,,,,,,,,,,Journal Abbreviation: 2024 IEEE International Conference on Big Data (BigData),,,,Big Data; Compaction; compaction optimization; Fluctuations; Indexes; learned index; LSM-Tree; Optimization; Prototypes; read hotness; System performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 IEEE International Conference on Big Data (BigData),,,,,,,,,,,,,,,
7,7,System Integration,78,78,567,From LeanStore to LearnedStore: Using a Learned Index to Improve Database Index Search,,,TVGE2K9M,conferencePaper,2023,S. Maharjan; S. Zhao; C. Zhong; S. Jiang,2023 International Conference on High Performance Big Data and Intelligent Systems (HDIS),,,10.1109/HDIS60872.2023.10499467,,"In the realm of database systems, optimizing B+-tree index performance is of paramount importance to overall database performance. LeanStore, a high-performance OLTP storage engine, has extensively optimized its in-memory B+-tree component as well as its B+-tree -indexed database on the disk. However, B+-tree's lookup time increases linearly with the tree height. This is especially problematic when all or part of its lookup path is on the disk. Recently proposed learned index technique has the potential to significantly improve the performance of the B+-tree -based index by predicting location of the search key, instead of the level-by-Ievel path walk. However, this machine-learning-model-based index has prediction errors that require a local search within the sorted keys. When the keys are on the disk, this search can be very expensive. The errors increase with write requests, which makes the search increasingly more expensive. We propose LearnedStore, in which the learned index technique is leveraged to improve the LeanStore database while the deterioration of learned-index's search performance is curbed. Instead of replacing the B+-tree index in LeanStore, Learned-Store opportunistically employs a learned index when it offers a performance advantage over the B+-tree index. Otherwise, it reverts to using the B+-tree index. By seamlessly integrating the learned index with LeanStore's B+-tree structure, LearnedStore takes advantage of the learned index while effectively addressing its challenges. We have implemented LearnedStore and exten-sively evaluated its performance. Experiment results show that LearnedStore improves throughput by up to 2.29 times for read-only workloads when the index and data set are all in memory. It reduces tail latency by up to 6.84 times when the index and data set are partially in the memory. Even when the entire index and data set are on the disk, LearnedStore can improve startup time by 3.05 times.",2023-12-06,2025-12-21 19:21:45,2025-12-21 19:21:45,,162-169,,,,,,,,,,,,,,,,,,,,Journal Abbreviation: 2023 International Conference on High Performance Big Data and Intelligent Systems (HDIS),,,,Big Data; Bs+-tree; Databases; Indexes; Indexing Techniques; Intelligent systems; key-value database; LeanStore; Learned Index Structures; Machine Learning; Performance Optimization; Tail; Throughput; Vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023 International Conference on High Performance Big Data and Intelligent Systems (HDIS),,,,,,,,,,,,,,,
8,8,Novel Index Design (Research Prototype),77,77,497,Learned index for non-key queries,,,IWAKQDBV,journalArticle,2025,"Zhu, Rui; Wang, Hongzhi; Xia, Sheng; Zheng, Bo",Knowledge and Information Systems,,,10.1007/S10115-024-02233-0,,"Learned indexes have attracted a lot of interest lately due to their superior performance over conventional indexes. When there is a lot of data traffic, the learned index efficiently addresses the issue of the standard index’s large memory usage. In this paper, we concentrate on a well-known learned index, the recursive model index (RMI). Since the machine learning model is unbiased while calculating, when there are too many non-key queried, the model will calculate the position of the key as if it were positive key, which wastes a lot of time on unnecessary calculations. To deal with this condition, we propose a hierarchical learned index structure based on Bloom filter named HBFdex. HBFdex can effectively prune non-keys, which means most non-key return in layer of BF before they get to machine learning model. By lowering the number of layers traversed by non-key and the time spent looking for non-key within the error bound that is provided by machine learning model, HBFdex decreases the average query time of learned index. We compare HBFdex with B-Tree and RMI, and the results prove that our new structure optimizes the performance of RMI in the case of non-key queries.",2025-01,2025-12-21 19:32:29,2025-12-21 19:32:29,,497-519,,1,67,,,,,,,,,,,,,,,,,Publisher: Springer Science and Business Media Deutschland GmbH,,,,Bloom filter; Index; Learned index; Non-key query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,System Integration,76,76,491,{HiDPU}: A {DPU-Oriented} Hybrid Indexing Scheme for Disaggregated Storage Systems,,,LJNKTZ7X,journalArticle,,"Zhu, W; Shen, Z; Wei, Q; Chen, R; Yao, X; …, D Yu - … USENIX Conference on; 2025, undefined",usenix.org,,978-1-939133-45-8,,https://www.usenix.org/conference/fast25/presentation/zhu,"Data Processing Units (DPUs) have been deployed in disaggregated storage systems to accelerate data transmission. However, in this paper, we observe that during data access in disaggregated storage, the address translation process incurs significant CPU computation overhead and leads to high system latency. Additionally, in large-scale storage systems, the address indexing structures also consume substantial memory space, incurring high costs. To address these challenges, we propose HiDPU, a DPU-oriented hybrid indexing scheme optimized for disaggregated storage systems. Our solution introduces a multi-level indexing structure to alleviate the limitations of DPU memory resources, constrained computational power, and the high DPU-host interaction overhead. Mapping entries for the storage space are divided into different kinds of segments (i.e., accurate, PTHash, and LPTHash) to leverage address continuity. A layered learned index is constructed across these segments to enhance memory efficiency. To further reduce DPU-host interactions, small upper-layer indexes and frequently accessed metadata are maintained on the DPU, limiting interactions to a single instance. HiDPU also implements a two-phase asynchronous index update strategy to ensure index consistency between the DPU and host memory, while minimizing performance overhead. Experimental results on Huawei's Hi1823 DPU demonstrate that HiDPU achieves up to 92% memory savings and improves query performance by up to 6.3× compared to existing solutions.",,2025-12-21 21:44:05,2025-12-21 21:44:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,Novel Index Design (Research Prototype),10,10,69,"Towards Optimizing Learned Index for High Performance, Memory Efficiency and NUMA Awareness",,,78CFNDAI,journalArticle,2025,"Cui, Lixiao; Yang, Kedi; Li, Yusen; Wang, Gang; Liu, Xiaoguang",dl.acm.org,,9798400711961,10.1145/3736168,https://dl.acm.org/doi/abs/10.1145/3736168,"Learned indexes provide significant performance advantages over classical ordered indexes. However, current learned indexes face challenges regarding tradeoffs between performance and space, as well as scalability issues in platforms with multiple NUMA nodes. These limitations hinder the practical application of learned indexes in production environments. This article presents DiffLex, a learned index with high-performance, memory-efficiency, and NUMA-awareness. The core design of DiffLex is to perform differentiated management based on the popularity of data. For optimal performance, DiffLex stores newly inserted data in sparse delta arrays and frequently accessed data in sparse hot cache arrays. However, for cold data that occupy a majority of the storage space, DiffLex stores them in dense arrays and conducts compression to reduce memory costs. DiffLex ensures NUMA-awareness by partitioning sparse deltas and replicating the hot cache arrays across multiple NUMA nodes. Additionally, we propose a persistent version of DiffLex tailored for emerging persistent memory devices. Our evaluation results demonstrate that DiffLex achieving 3.88× and 1.82× performance improvements compared to state-of-the-art learned indexes, while maintaining a compact index size.",2025-09,2025-12-21 21:43:54,2025-12-21 21:43:54,,17-17,,3,22,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery,,,,compression; Learned index; non-volatile memory; NUMA awareness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
